CO_GT,PT08_S1_CO,NMHC_GT,NOx_GT,PT08_S3_NOx,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,PT08_S2_NMHC
2.7,1123.75,-900.0,404.0,713.0,118.0,1176.75,1188.25,6.9499999046326,173.64999828338497,1.2535429353043257,1143.5
2.3000000000000003,1173.5,-900.0,384.8,740.25,148.1,1084.75,1244.25,9.6250000953674,123.77500114440998,1.0816875748025014,1063.75
5.8,1603.0,-900.0,877.6,416.75,179.7,1774.0,2088.0,7.9750002384186,180.1,1.3811245427103653,1676.5
-900.0,1267.75,-900.0,-900.0,763.75,-900.0,1743.75,1355.75,26.199999904633,80.42499885558999,1.8841200312052624,1312.0
3.1,1332.0,-900.0,400.0,646.75,138.0,1881.75,1358.25,32.250000572205,102.775004005432,3.328935571132944,1386.25
3.7,-900.0,-900.0,489.8,-900.0,175.3,-900.0,-900.0,-900.0,-2700.0,-1800.0,-900.0
1.5,1019.5,117.0,69.0,1157.25,73.0,1300.0,589.25,21.324999904633,69.54999885558999,1.2535497260911335,946.0
2.4,1206.0,-900.0,-900.0,636.25,-900.0,1649.75,1073.5,38.424999809265,64.6,2.9526148476676117,1241.0
1.0,948.0,-900.0,119.7,1026.25,99.0,844.25,600.5,7.2749999523163,118.00000057220498,0.9008785069634646,752.25
1.4000000000000001,1115.75,-900.0,241.0,752.75,93.0,1190.25,1128.0,8.3000002861023,244.300004577637,1.8759855783635015,978.75
0.7999999999999999,846.75,-900.0,-900.0,1189.25,-900.0,1150.75,405.0,33.324999427795,57.175000286101,2.0065603052882564,760.5
2.7,1449.5,-900.0,169.0,774.25,108.0,1777.0,1343.0,15.125000095367,157.074999427795,1.8762755431330773,1217.5
3.0,1233.75,-900.0,427.6,617.25,244.1,1276.5,1255.5,4.299999928474399,239.349994277953,1.429328630377124,1177.75
1.2000000000000002,995.75,-900.0,49.0,869.25,65.0,1459.75,876.5,24.37499961853,114.40000114440998,2.379590044066733,939.75
2.0,1016.75,-900.0,326.0,819.0,112.0,1064.5,1039.75,4.0750000238419,207.02500114440997,1.2321831832681391,1002.5
-900.0,967.0,-900.0,-900.0,868.25,-900.0,1462.75,997.0,23.899999713898,125.42499885559,2.5298684732934933,975.25
-900.0,1062.5,-900.0,-900.0,813.5,-900.0,1345.0,800.0,20.000000095367003,126.249997711183,2.0329569640063654,1078.75
2.1,-900.0,-900.0,104.0,-900.0,108.0,-900.0,-900.0,-900.0,-2700.0,-1800.0,-900.0
5.8,1650.75,656.0,284.0,553.0,136.0,2368.75,1788.0,19.900000190735,175.975,2.7784434122642976,1626.0
4.5,1473.25,-900.0,671.2,468.75,217.9,1502.75,1815.5,17.025000190735,121.14999828338499,1.6434156090189598,1336.5
4.8,-900.0,-900.0,936.0,-900.0,177.0,-900.0,-900.0,-900.0,-2700.0,-1800.0,-900.0
3.1,-900.0,248.0,194.0,-900.0,128.0,-900.0,-900.0,-900.0,-2700.0,-1800.0,-900.0
-900.0,821.25,-900.0,-900.0,1207.5,-900.0,865.75,452.25,9.3749998569489,132.10000286102198,1.130678574224655,695.0
2.9,1154.75,-900.0,163.8,643.25,102.5,1296.0,975.25,16.35,178.37500057220498,2.2790656521725037,977.5
3.2,1390.0,-900.0,343.1,490.0,129.2,1605.5,1488.25,13.925000047684,199.44999656677302,2.19026946278765,1342.25
2.8000000000000003,1250.0,-900.0,362.0,653.5,90.0,1370.5,1238.0,11.325000143051,234.924993133546,2.18290027864778,1131.5
3.1,1313.5,-900.0,399.0,731.0,119.0,1648.0,1470.5,18.899999713898,147.85,2.216118297005038,1389.0
2.1,1233.5,128.0,123.0,879.75,109.0,1560.25,1086.25,13.774999952316,200.575002288817,2.182044761771567,1012.75
-900.0,1086.75,-900.0,-900.0,768.25,-900.0,1485.5,868.25,15.175000047684,246.92499885559002,2.901830854384966,1037.25
-900.0,1134.0,-900.0,-900.0,766.75,-900.0,1471.0,744.75,27.175000762939,129.85,3.150917676410372,992.5
-900.0,1095.0,-900.0,-900.0,855.5,-900.0,1585.5,968.25,13.899999952316,174.85,1.9294090623369593,1102.0
3.9,1510.0,-900.0,725.8,438.5,166.8,1659.75,1678.25,9.6,187.97500286102198,1.5888355552851354,1414.5
-900.0,1389.5,-900.0,-900.0,635.25,-900.0,2012.25,1516.0,14.624999856949,181.375003433227,2.087294580170672,1449.0
0.6,874.25,-900.0,34.0,1283.25,45.0,1288.75,463.0,17.32500038147,129.324999427795,1.7787560344718187,765.0
1.4000000000000001,991.25,-900.0,126.0,810.25,78.0,1747.75,997.5,18.375000095367003,182.35,2.6270108489808806,1100.5
-900.0,1435.25,-900.0,-900.0,530.5,-900.0,1853.75,1416.25,30.899999713898,95.574999427795,2.8816768409032343,1489.5
3.3000000000000003,1218.75,-900.0,461.8,619.5,183.2,1270.0,1474.75,12.400000190735,138.85,1.4193518639920324,1211.0
3.6,1266.5,-900.0,224.0,681.75,126.0,1957.5,1176.75,17.574999904633,182.42499885559002,2.5057115654152535,1343.25
3.4,1382.25,-900.0,170.0,671.75,125.0,1795.25,1456.0,17.949999904633,138.475,1.9688207396442168,1328.25
6.3999999999999995,1491.75,-900.0,618.0,465.0,202.0,2101.25,1751.0,23.274999713898,110.874997711183,2.1691315397306674,1793.25
4.8999999999999995,1359.5,-900.0,303.0,559.75,126.0,2397.75,1600.25,21.99999961853,149.874997711183,2.6913579265471195,1646.0
1.1,1007.0,-900.0,188.0,767.66666666667,56.0,1447.6666666667,912.66666666667,19.899999872843,207.699998474122,3.261591115751931,984.0
3.5,1372.0,-900.0,562.7,580.0,175.3,1303.0,2006.0,8.4000001907349,174.700002288817,1.3782571831219184,1234.0
1.9000000000000001,1094.25,-900.0,252.0,726.5,84.0,1377.0,1000.25,19.199999904633,177.62500057220498,2.6899472655833727,1046.5
1.0,891.0,-900.0,112.0,897.25,46.0,1312.0,772.25,14.899999952316,236.19999656677302,2.733854358369223,884.25
2.7,1192.25,-900.0,152.0,716.75,145.0,1957.25,1154.0,39.750000572205,56.125000572204996,2.7612102478580525,1360.25
4.5,1388.5,-900.0,238.0,577.5,180.0,2181.0,1358.0,32.624999618530005,92.724998569489,3.0749989278168592,1525.5
1.4000000000000001,1104.25,-900.0,177.3,721.75,93.7,1288.25,1011.5,16.62499961853,191.42499885559002,2.479211382699477,877.0
2.3000000000000003,1346.6666666667,-900.0,152.0,931.66666666667,129.0,1652.3333333333,1111.3333333333,27.13333346049,53.59999999999901,1.3549386548266633,1278.6666666667
-900.0,1086.5,-900.0,123.0,722.75,138.0,1613.5,832.25,38.749999618530005,48.32499871254101,2.2706371443296334,1210.0
3.5,1189.0,-900.0,227.0,739.0,128.0,1837.25,1131.5,16.149999713898,152.725,1.9422795907539985,1297.75
-900.0,967.5,-900.0,-900.0,843.5,-900.0,1584.25,745.0,27.725000476837,135.849997138978,3.3957444119770854,947.5
1.7000000000000002,1162.25,191.0,93.0,887.75,93.0,1566.75,953.25,17.12499961853,161.65000114440997,2.1726910161126467,1019.25
0.9,821.25,-900.0,96.0,1134.25,53.0,1039.0,508.0,13.374999856949,159.02500114440997,1.7088573800864761,739.25
1.6,1103.5,-900.0,111.0,747.25,114.0,1572.25,931.25,42.899999237061,42.850000715257,2.5005995380077928,1169.0
3.8000000000000003,1492.5,-900.0,533.0,494.25,106.0,1926.25,1643.25,24.475,157.67500171661501,3.261368028390935,1473.0
0.9,947.5,70.0,75.0,1038.75,68.0,1430.75,907.5,14.425000047684,166.449996566773,1.9006591714698717,906.75
-900.0,810.5,-900.0,-900.0,1147.5,-900.0,1312.5,415.25,25.350000476837,132.92499885559002,2.906366805124884,737.25
1.3,974.0,-900.0,74.0,813.5,78.0,1565.0,1017.0,22.300000286102,129.099997138978,2.3726320163935704,1060.25
3.1,1223.75,-900.0,426.0,815.75,124.0,1462.5,1251.5,19.300000286102,141.40000114440997,2.174163060074338,1258.25
2.0,1121.0,234.0,118.0,869.5,114.0,1531.75,685.5,18.675000286102,110.949996566773,1.6657525134138946,1097.25
4.699999999999999,1471.25,-900.0,445.0,519.75,191.0,2088.25,1621.25,31.724999523163003,104.42499885559,3.2850448275528974,1583.5
-900.0,-900.0,-900.0,-900.0,-900.0,-900.0,-900.0,-900.0,-900.0,-2700.0,-1800.0,-900.0
1.6,957.25,-900.0,195.0,835.0,106.0,1310.5,1001.5,17.549999332428,128.574999427795,1.7925473951386728,1063.5
2.1,1105.25,-900.0,156.0,920.75,122.0,1560.5,930.75,19.225,132.324999427795,2.032023820568883,1060.0
1.8,1104.75,-900.0,215.0,1073.0,76.0,1275.0,1035.25,11.749999856949,217.599994277953,2.083131807504803,1045.5
3.5,1508.25,-900.0,321.0,594.5,110.0,2067.25,1531.0,17.475000476837,206.875009155274,2.8114042731796234,1371.5
2.4,1164.75,-900.0,135.0,763.25,95.0,1740.5,1025.25,23.900000190735,95.125002002716,1.9423958923302913,1278.75
0.6,822.5,-900.0,38.0,1089.5,45.0,1486.0,698.0,20.275000190735,161.42500171661501,2.6138123568122826,826.5
1.5,1044.5,102.0,98.0,1071.5,98.0,1410.75,840.75,9.3999997138977,225.099994277953,1.8597322177097175,901.5
-900.0,1513.25,-900.0,-900.0,385.5,-900.0,2550.0,1783.75,23.824999904633,162.02499828338497,3.225494372725032,1802.5
2.6,1211.5,-900.0,480.0,623.25,199.9,1187.0,1205.0,8.4749998807907,133.89999828338497,1.084439263107914,1119.75
1.4000000000000001,997.25,-900.0,63.0,808.75,67.0,1548.0,631.75,34.549999809265,91.825000858306,3.3804704930148843,970.25
1.6,1135.75,-900.0,219.0,687.5,116.3,1344.25,917.25,17.875000095367003,185.12500057220498,2.587253108892697,923.0
0.7,868.5,-900.0,49.0,1061.5,64.0,1339.5,463.5,33.124999618530005,53.124999141694,1.8515517062299998,900.5
1.0,780.0,-900.0,160.0,1650.5,81.0,762.5,469.0,15.000000095367,51.325000858306005,0.6750788840623675,839.75
-900.0,972.25,-900.0,-900.0,1152.25,-900.0,1471.75,610.0,14.574999904633,218.79999885559002,2.489983623494513,798.75
-900.0,1060.0,-900.0,-900.0,994.75,-900.0,1533.5,610.0,15.699999904633,197.42500171661501,2.4153778443091736,904.5
-900.0,886.0,-900.0,-900.0,971.0,-900.0,933.75,629.75,11.774999952316,103.29999885559,1.0424860334592465,865.75
0.4,839.0,-900.0,-900.0,1367.75,-900.0,1143.5,746.5,23.149999713898,99.175001716615,1.9368026229656832,755.75
2.1,996.25,-900.0,399.9,799.5,179.1,897.75,953.75,11.724999761581,45.925001001358005,0.5171495598735198,1067.0
5.199999999999999,1583.0,-900.0,339.0,522.5,122.0,2294.0,1760.25,18.925000286102,157.449999427795,2.3570859041900776,1618.5
0.9,890.25,-900.0,64.0,987.0,50.0,1397.75,679.75,22.324999427795003,189.099997138978,3.4346845056106154,843.75
2.2,1100.0,-900.0,112.0,800.25,104.0,1744.75,798.5,33.449999904633,71.949999427795,2.5169470805932788,1169.5
-900.0,947.25,-900.0,113.0,970.75,138.0,1516.0,645.75,27.074999904633,145.075002288817,3.4891063147891024,814.25
2.6,1238.5,-900.0,326.0,609.25,88.0,1654.5,1191.5,26.375000095367003,131.27500114440997,3.043598426149199,1230.0
-900.0,1373.25,-900.0,-900.0,676.0,-900.0,1887.25,1510.75,16.149999713898,168.85,2.136918466435625,1364.0
